orderid,customerid,noguest,tableno,intime,outtime,dinetypeid,paymentid,total,discount,netpay,vat,isposted,username
1695,ZF1,5,3,2002-08-30 20:00:00,2002-08-30 21:37:00,EI,AMEX,1320.00,117.00,1203.00,78.70,false,dbo
1696,ZF1,3,3,2002-08-31 11:32:00,2002-08-31 13:29:00,EI,VISA,380.00,0.00,380.00,24.86,false,dbo
1697,ZF1,6,3,2002-08-31 18:34:00,2002-08-31 20:15:00,EI,MC,1430.00,128.00,1302.00,85.18,false,dbo
1698,ZF1,2,4,2002-08-31 18:43:00,2002-08-31 20:07:00,EI,MC,310.00,10.50,299.50,19.59,false,dbo
1699,PJ1,2,5,2002-08-31 18:50:00,2002-08-31 21:13:00,EI,CASH,310.00,0.00,310.00,20.28,false,dbo
1700,ZM1,1,0,2002-08-31 19:05:00,2002-08-31 19:18:00,TG,CASH,410.00,0.00,410.00,26.82,false,dbo
1701,ZF1,1,1,2002-08-31 19:13:00,2002-08-31 20:40:00,EI,MC,390.00,14.50,375.50,24.57,false,dbo
1702,ZF1,2,2,2002-08-31 19:20:00,2002-08-31 20:52:00,EI,CHK,975.00,0.00,975.00,63.79,false,dbo
1703,PJ1,2,3,2002-08-31 19:30:00,2002-08-31 20:27:00,EI,CASH,300.00,0.00,300.00,19.63,false,dbo
1704,ZM1,2,3,2002-08-31 19:37:00,2002-08-31 21:03:00,EI,MC,135.00,6.75,128.25,8.39,false,dbo
1705,ZM1,2,3,2002-08-31 19:38:00,2002-08-31 20:23:00,EI,CASH,510.00,0.00,510.00,33.36,false,dbo
1706,CS1,3,2,2002-08-31 20:02:00,2002-08-31 22:02:00,EI,VISA,255.00,0.00,255.00,16.68,false,dbo
1707,ZM1,4,9,2002-08-31 20:09:00,2002-08-31 20:46:00,EI,MC,1310.00,121.00,1189.00,77.79,false,dbo
1708,PJ1,3,2,2002-08-31 20:23:00,2002-08-31 21:23:00,EI,MC,600.00,22.50,577.50,37.78,false,dbo
1709,RH1,3,2,2002-09-01 12:24:00,2002-09-01 13:26:00,EI,MC,305.00,10.25,294.75,19.28,false,dbo
1710,ZM1,4,2,2002-09-01 18:29:00,2002-09-01 19:21:00,EI,MC,1715.00,156.50,1558.50,101.96,false,dbo
1711,CS1,3,4,2002-09-01 18:41:00,2002-09-01 19:18:00,EI,CASH,190.00,0.00,190.00,12.43,false,dbo
1712,ZF1,2,4,2002-09-01 18:47:00,2002-09-01 20:30:00,EI,CASH,245.00,0.00,245.00,16.03,false,dbo
1713,ZF1,2,2,2002-09-01 19:27:00,2002-09-01 20:10:00,EI,CASH,530.00,0.00,530.00,34.67,false,dbo
1714,ZF1,1,4,2002-09-01 19:42:00,2002-09-01 20:18:00,EI,CASH,230.00,0.00,230.00,15.05,false,dbo
1715,PJ1,2,5,2002-09-01 19:57:00,2002-09-01 21:47:00,EI,CASH,270.00,0.00,270.00,17.66,false,dbo
1716,RH2,4,5,2002-09-01 19:59:00,2002-09-01 21:41:00,EI,VISA,140.00,0.00,140.00,9.16,false,dbo
1717,ZF1,4,5,2002-09-01 20:05:00,2002-09-01 21:38:00,EI,AMEX,660.00,0.00,660.00,43.18,false,dbo
1718,CS1,2,2,2002-09-01 20:21:00,2002-09-01 21:28:00,EI,MC,590.00,22.00,568.00,37.16,false,dbo
1719,ZF1,2,4,2002-09-02 11:04:00,2002-09-02 11:55:00,EI,CASH,860.00,0.00,860.00,56.26,false,dbo
1720,ZM1,1,0,2002-09-02 18:36:00,2002-09-02 18:49:00,TG,CASH,1340.00,186.00,1154.00,75.50,false,dbo
1721,PJ1,3,5,2002-09-02 18:55:00,2002-09-02 20:02:00,EI,CASH,440.00,0.00,440.00,28.79,false,dbo
1722,ZF1,2,5,2002-09-02 19:55:00,2002-09-02 20:27:00,EI,CHK,400.00,0.00,400.00,26.17,false,dbo
1723,PH1,5,1,2002-09-02 20:01:00,2002-09-02 21:17:00,EI,VISA,1460.00,141.00,1319.00,86.29,false,dbo
1724,ZM1,3,1,2002-09-02 20:10:00,2002-09-02 22:25:00,EI,MC,50.00,2.50,47.50,3.11,false,dbo
1725,ZM1,4,5,2002-09-03 18:56:00,2002-09-03 20:01:00,EI,CASH,270.00,0.00,270.00,17.66,false,dbo
1726,ZF1,2,2,2002-09-03 19:02:00,2002-09-03 21:19:00,EI,CASH,410.00,0.00,410.00,26.82,false,dbo
1727,ZF1,2,9,2002-09-03 19:09:00,2002-09-03 21:05:00,EI,VISA,665.00,0.00,665.00,43.50,false,dbo
3298,ZM1,2,1,2003-04-20 12:01:00,2003-04-20 14:24:00,EI,CHK,230.00,0.00,230.00,15.05,false,dbo
1728,RH2,2,3,2002-09-04 18:34:00,2002-09-04 20:11:00,EI,CASH,480.00,0.00,480.00,31.40,false,dbo
1729,ZM1,4,4,2002-09-04 18:46:00,2002-09-04 20:54:00,EI,MC,1650.00,155.00,1495.00,97.80,false,dbo
1730,ZM1,3,5,2002-09-04 18:59:00,2002-09-04 19:36:00,EI,MC,340.00,9.50,330.50,21.62,false,dbo
1731,ZM1,4,2,2002-09-04 19:24:00,2002-09-04 19:56:00,EI,VISA,200.00,0.00,200.00,13.08,false,dbo
1732,ZM1,2,1,2002-09-04 20:16:00,2002-09-04 21:25:00,EI,CHK,600.00,0.00,600.00,39.25,false,dbo
1733,ZF1,3,1,2002-09-05 12:11:00,2002-09-05 12:48:00,EI,MC,45.00,2.25,42.75,2.80,false,dbo
2973,ZM1,3,2,2003-03-01 12:24:00,2003-03-01 13:36:00,EI,MC,350.00,12.50,337.50,22.08,false,dbo
2974,PJ1,2,4,2003-03-01 18:46:00,2003-03-01 19:22:00,EI,CASH,90.00,0.00,90.00,5.89,false,dbo
2975,ZM1,1,1,2003-03-01 19:10:00,2003-03-01 21:11:00,EI,VISA,170.00,0.00,170.00,11.12,false,dbo
2976,RH2,3,3,2003-03-01 19:31:00,2003-03-01 21:50:00,EI,CASH,380.00,0.00,380.00,24.86,false,dbo
2977,ZM1,1,8,2003-03-01 20:08:00,2003-03-01 22:11:00,EI,CASH,295.00,0.00,295.00,19.30,false,dbo
2978,ZM1,3,1,2003-03-01 20:16:00,2003-03-01 21:04:00,EI,CASH,680.00,0.00,680.00,44.49,false,dbo
2979,ZM1,4,4,2003-03-02 10:40:00,2003-03-02 12:55:00,EI,CHK,260.00,0.00,260.00,17.01,false,dbo
2980,ZF1,1,0,2003-03-02 11:51:00,2003-03-02 12:10:00,TG,VISA,290.00,0.00,290.00,18.97,false,dbo
2981,RH1,3,4,2003-03-02 12:04:00,2003-03-02 13:46:00,EI,MC,90.00,4.50,85.50,5.59,false,dbo
2982,RH2,3,2,2003-03-02 12:23:00,2003-03-02 13:31:00,EI,CHK,265.00,0.00,265.00,17.34,false,dbo
2983,ZF1,6,9,2003-03-02 19:09:00,2003-03-02 20:32:00,EI,CASH,1025.00,153.75,871.25,57.00,false,dbo
2984,ZF1,4,2,2003-03-02 19:20:00,2003-03-02 20:15:00,EI,CASH,150.00,0.00,150.00,9.81,false,dbo
2985,CS1,2,2,2003-03-02 19:23:00,2003-03-02 20:09:00,EI,CASH,200.00,0.00,200.00,13.08,false,dbo
2986,RH2,1,2,2003-03-02 19:28:00,2003-03-02 20:52:00,EI,CASH,100.00,0.00,100.00,6.54,false,dbo
2987,ZF1,2,5,2003-03-02 19:55:00,2003-03-02 20:41:00,EI,CHK,1100.00,0.00,1100.00,71.96,false,dbo
2988,ZM1,4,2,2003-03-02 20:23:00,2003-03-02 21:54:00,EI,CHK,1220.00,122.00,1098.00,71.83,false,dbo
2989,ZM1,3,4,2003-03-03 11:45:00,2003-03-03 12:54:00,EI,CASH,350.00,0.00,350.00,22.90,false,dbo
2990,ZF1,2,5,2003-03-03 18:56:00,2003-03-03 21:16:00,EI,CASH,840.00,0.00,840.00,54.95,false,dbo
2991,PH1,3,4,2003-03-03 19:04:00,2003-03-03 19:43:00,EI,CASH,175.00,0.00,175.00,11.45,false,dbo
2992,PH1,3,1,2003-03-03 19:11:00,2003-03-03 19:57:00,EI,MC,310.00,13.00,297.00,19.43,false,dbo
2993,AC1,1,2,2003-03-03 19:22:00,2003-03-03 21:02:00,EI,CASH,220.00,0.00,220.00,14.39,false,dbo
2994,ZF1,3,4,2003-03-03 19:41:00,2003-03-03 20:58:00,EI,VISA,90.00,0.00,90.00,5.89,false,dbo
2995,ZF1,3,4,2003-03-03 19:46:00,2003-03-03 20:32:00,EI,CASH,875.00,0.00,875.00,57.24,false,dbo
2996,PJ1,3,1,2003-03-04 19:18:00,2003-03-04 21:35:00,EI,MC,90.00,4.50,85.50,5.59,false,dbo
2997,ZM1,4,5,2003-03-04 19:56:00,2003-03-04 20:49:00,EI,MC,90.00,4.50,85.50,5.59,false,dbo
2998,ZF1,4,4,2003-03-05 18:41:00,2003-03-05 20:34:00,EI,CHK,820.00,0.00,820.00,53.64,false,dbo
2999,AC1,5,2,2003-03-05 19:26:00,2003-03-05 20:14:00,EI,MC,1420.00,142.00,1278.00,83.61,false,dbo
3000,PJ1,1,0,2003-03-05 20:20:00,2003-03-05 20:40:00,TG,MC,600.00,25.00,575.00,37.62,false,dbo
3001,ZM1,2,5,2003-03-06 10:52:00,2003-03-06 12:26:00,EI,VISA,145.00,0.00,145.00,9.49,false,dbo
3002,CS1,1,3,2003-03-06 11:00:00,2003-03-06 13:12:00,EI,MC,510.00,20.50,489.50,32.02,false,dbo
3003,ZF1,5,2,2003-03-06 11:22:00,2003-03-06 12:35:00,EI,CASH,1110.00,151.50,958.50,62.71,false,dbo
3004,ZF1,2,2,2003-03-06 19:21:00,2003-03-06 20:34:00,EI,MC,320.00,16.00,304.00,19.89,false,dbo
3005,RH1,3,3,2003-03-07 10:34:00,2003-03-07 11:50:00,EI,CASH,1880.00,267.00,1613.00,105.52,false,dbo
3006,ZM1,3,2,2003-03-07 11:02:00,2003-03-07 11:54:00,EI,CASH,355.00,0.00,355.00,23.22,false,dbo
3007,ZF1,3,2,2003-03-07 12:02:00,2003-03-07 14:18:00,EI,CASH,280.00,0.00,280.00,18.32,false,dbo
3008,ZF1,4,6,2003-03-07 12:06:00,2003-03-07 14:15:00,EI,CASH,360.00,0.00,360.00,23.55,false,dbo
1770,PJ1,1,5,2002-09-09 11:52:00,2002-09-09 13:30:00,EI,VISA,450.00,0.00,450.00,29.44,false,dbo
1771,ZF1,2,8,2002-09-09 19:08:00,2002-09-09 20:23:00,EI,MC,460.00,23.00,437.00,28.59,false,dbo
1772,RH1,3,2,2002-09-09 19:26:00,2002-09-09 20:53:00,EI,CHK,20.00,0.00,20.00,1.31,false,dbo
1773,ZF1,1,3,2002-09-09 19:39:00,2002-09-09 21:33:00,EI,MC,540.00,19.50,520.50,34.05,false,dbo
1774,PJ1,2,1,2002-09-09 20:10:00,2002-09-09 21:48:00,EI,MC,440.00,14.50,425.50,27.84,false,dbo
1775,ZM1,2,1,2002-09-09 20:16:00,2002-09-09 21:03:00,EI,VISA,720.00,0.00,720.00,47.10,false,dbo
1776,ZM1,2,3,2002-09-10 18:34:00,2002-09-10 19:36:00,EI,CASH,150.00,0.00,150.00,9.81,false,dbo
1777,ZM1,2,5,2002-09-11 18:56:00,2002-09-11 20:28:00,EI,CASH,100.00,0.00,100.00,6.54,false,dbo
1778,ZF1,1,4,2002-09-11 19:48:00,2002-09-11 20:46:00,EI,CASH,670.00,0.00,670.00,43.83,false,dbo
1779,ZM1,1,5,2002-09-11 19:54:00,2002-09-11 21:27:00,EI,CHK,270.00,0.00,270.00,17.66,false,dbo
1780,ZM1,1,0,2002-09-12 11:19:00,2002-09-12 11:32:00,TG,MC,1495.00,144.50,1350.50,88.35,false,dbo
1781,ZM1,3,2,2002-09-12 12:28:00,2002-09-12 13:37:00,EI,AMEX,820.00,0.00,820.00,53.64,false,dbo
1782,PH1,2,7,2002-09-12 19:07:00,2002-09-12 20:11:00,EI,MC,480.00,16.50,463.50,30.32,false,dbo
1783,ZF1,2,9,2002-09-12 19:09:00,2002-09-12 19:53:00,EI,MC,530.00,19.00,511.00,33.43,false,dbo
1784,PH1,2,7,2002-09-12 20:07:00,2002-09-12 21:00:00,EI,CASH,115.00,0.00,115.00,7.52,false,dbo
1785,ZF1,4,3,2002-09-13 10:39:00,2002-09-13 11:22:00,EI,CASH,395.00,0.00,395.00,25.84,false,dbo
1786,ZM1,2,1,2002-09-13 12:10:00,2002-09-13 14:31:00,EI,MC,240.00,9.50,230.50,15.08,false,dbo
1787,ZF1,4,7,2002-09-13 19:07:00,2002-09-13 21:20:00,EI,MC,210.00,8.00,202.00,13.21,false,dbo
1788,RH1,2,1,2002-09-13 19:17:00,2002-09-13 21:03:00,EI,MC,200.00,5.00,195.00,12.76,false,dbo
1789,PJ1,4,2,2002-09-13 19:23:00,2002-09-13 21:39:00,EI,CASH,245.00,0.00,245.00,16.03,false,dbo
1790,PJ1,3,2,2002-09-13 19:28:00,2002-09-13 20:53:00,EI,MC,275.00,8.75,266.25,17.42,false,dbo
1791,PJ1,3,5,2002-09-13 19:52:00,2002-09-13 21:58:00,EI,MC,400.00,12.50,387.50,25.35,false,dbo
1792,ZF1,3,2,2002-09-13 20:02:00,2002-09-13 20:48:00,EI,VISA,120.00,0.00,120.00,7.85,false,dbo
1793,RH1,3,7,2002-09-14 11:07:00,2002-09-14 12:59:00,EI,CHK,600.00,0.00,600.00,39.25,false,dbo
1794,PJ1,1,1,2002-09-14 11:11:00,2002-09-14 11:46:00,EI,MC,580.00,29.00,551.00,36.05,false,dbo
1795,ZF1,2,3,2002-09-14 18:33:00,2002-09-14 20:17:00,EI,CHK,110.00,0.00,110.00,7.20,false,dbo
1796,PJ1,2,4,2002-09-14 18:41:00,2002-09-14 20:23:00,EI,CASH,130.00,0.00,130.00,8.50,false,dbo
1797,ZM1,3,4,2002-09-14 18:47:00,2002-09-14 19:20:00,EI,CASH,380.00,0.00,380.00,24.86,false,dbo
1798,ZF1,2,5,2002-09-14 18:50:00,2002-09-14 19:50:00,EI,CASH,530.00,0.00,530.00,34.67,false,dbo
1799,ZM1,1,5,2002-09-14 19:57:00,2002-09-14 20:53:00,EI,MC,240.00,12.00,228.00,14.92,false,dbo
1800,RH2,1,0,2002-09-14 20:16:00,2002-09-14 20:30:00,TG,MC,365.00,15.75,349.25,22.85,false,dbo
1801,ZM1,3,2,2002-09-14 20:21:00,2002-09-14 21:00:00,EI,CASH,520.00,0.00,520.00,34.02,false,dbo
1802,ZF1,4,5,2002-09-15 10:50:00,2002-09-15 11:31:00,EI,CHK,1590.00,144.00,1446.00,94.60,false,dbo
1803,PJ1,4,5,2002-09-15 11:55:00,2002-09-15 14:07:00,EI,MC,130.00,6.50,123.50,8.08,false,dbo
1804,ZF1,2,2,2002-09-15 12:28:00,2002-09-15 14:09:00,EI,CASH,260.00,0.00,260.00,17.01,false,dbo
1805,AC1,2,5,2002-09-15 18:54:00,2002-09-15 21:09:00,EI,MC,535.00,19.25,515.75,33.74,false,dbo
1806,PH1,5,5,2002-09-15 18:59:00,2002-09-15 20:39:00,EI,CHK,1700.00,160.00,1540.00,100.75,false,dbo
1807,ZM1,4,3,2002-09-15 19:00:00,2002-09-15 20:07:00,EI,CHK,325.00,0.00,325.00,21.26,false,dbo
1808,ZM1,2,1,2002-09-15 19:01:00,2002-09-15 21:07:00,EI,VISA,540.00,0.00,540.00,35.33,false,dbo
1809,PH1,10,1,2002-09-15 19:17:00,2002-09-15 21:13:00,EI,MC,2770.00,534.00,2236.00,146.28,false,dbo
1810,ZF1,5,2,2002-09-15 20:20:00,2002-09-15 21:38:00,EI,MC,1440.00,134.00,1306.00,85.44,false,dbo
1811,CS1,3,2,2002-09-15 20:21:00,2002-09-15 22:25:00,EI,CHK,240.00,0.00,240.00,15.70,false,dbo
1812,ZM1,6,3,2002-09-16 11:33:00,2002-09-16 13:12:00,EI,CASH,1420.00,205.50,1214.50,79.45,false,dbo
1813,ZF1,4,4,2002-09-16 18:41:00,2002-09-16 20:09:00,EI,CHK,550.00,0.00,550.00,35.98,false,dbo
1814,PJ1,3,2,2002-09-16 19:28:00,2002-09-16 20:20:00,EI,CASH,870.00,0.00,870.00,56.92,false,dbo
1815,PH1,4,4,2002-09-17 18:43:00,2002-09-17 20:08:00,EI,MC,340.00,12.00,328.00,21.46,false,dbo
1816,ZF1,3,3,2002-09-17 19:00:00,2002-09-17 19:54:00,EI,MC,150.00,7.50,142.50,9.32,false,dbo
1817,ZF1,2,1,2002-09-17 19:15:00,2002-09-17 19:54:00,EI,CHK,360.00,0.00,360.00,23.55,false,dbo
1818,ZM1,5,4,2002-09-18 11:45:00,2002-09-18 14:00:00,EI,CASH,1045.00,156.75,888.25,58.11,false,dbo
1819,ZF1,4,3,2002-09-18 12:00:00,2002-09-18 13:52:00,EI,CASH,1230.00,184.50,1045.50,68.40,false,dbo
1820,RH1,1,0,2002-09-18 12:22:00,2002-09-18 12:36:00,TG,MC,990.00,49.50,940.50,61.53,false,dbo
1821,ZM1,1,2,2002-09-18 19:29:00,2002-09-18 20:01:00,EI,CHK,360.00,0.00,360.00,23.55,false,dbo
1822,ZF1,3,5,2002-09-18 19:52:00,2002-09-18 20:26:00,EI,CASH,540.00,0.00,540.00,35.33,false,dbo
1823,ZF1,1,2,2002-09-19 11:23:00,2002-09-19 13:38:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
1824,ZM1,4,2,2002-09-19 12:26:00,2002-09-19 13:42:00,EI,CASH,1055.00,158.25,896.75,58.67,false,dbo
1825,ZF1,2,4,2002-09-19 19:48:00,2002-09-19 22:06:00,EI,CASH,330.00,0.00,330.00,21.59,false,dbo
1826,AC1,1,2,2002-09-20 11:02:00,2002-09-20 12:32:00,EI,AMEX,330.00,0.00,330.00,21.59,false,dbo
1124,PJ1,3,5,2002-06-10 11:05:00,2002-06-10 11:38:00,EI,MC,740.00,29.50,710.50,46.48,false,dbo
1125,ZM1,3,2,2002-06-10 11:21:00,2002-06-10 12:10:00,EI,CASH,440.00,0.00,440.00,28.79,false,dbo
1126,ZM1,2,3,2002-06-10 19:00:00,2002-06-10 20:00:00,EI,MC,640.00,27.00,613.00,40.10,false,dbo
1127,ZF1,3,1,2002-06-10 19:16:00,2002-06-10 20:37:00,EI,MC,750.00,32.50,717.50,46.94,false,dbo
1128,PH1,4,2,2002-06-10 19:27:00,2002-06-10 21:46:00,EI,CASH,1650.00,225.00,1425.00,93.22,false,dbo
1129,ZM1,3,4,2002-06-11 10:44:00,2002-06-11 11:37:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
1130,ZM1,4,3,2002-06-11 18:33:00,2002-06-11 19:18:00,EI,CASH,1070.00,153.00,917.00,59.99,false,dbo
1131,ZM1,1,4,2002-06-11 18:48:00,2002-06-11 19:57:00,EI,CHK,620.00,0.00,620.00,40.56,false,dbo
1132,PJ1,4,4,2002-06-12 10:41:00,2002-06-12 12:58:00,EI,CHK,1060.00,101.00,959.00,62.74,false,dbo
1133,ZM1,3,4,2002-06-12 18:47:00,2002-06-12 20:20:00,EI,CASH,550.00,0.00,550.00,35.98,false,dbo
1134,ZF1,5,5,2002-06-12 19:05:00,2002-06-12 20:41:00,EI,CASH,1520.00,205.50,1314.50,86.00,false,dbo
1135,RH2,1,2,2002-06-12 19:26:00,2002-06-12 21:02:00,EI,CHK,380.00,0.00,380.00,24.86,false,dbo
1136,ZM1,1,4,2002-06-13 11:46:00,2002-06-13 12:59:00,EI,CASH,705.00,0.00,705.00,46.12,false,dbo
1137,ZF1,3,5,2002-06-13 11:51:00,2002-06-13 13:56:00,EI,CASH,210.00,0.00,210.00,13.74,false,dbo
1138,PJ1,3,5,2002-06-13 18:55:00,2002-06-13 19:34:00,EI,CASH,630.00,0.00,630.00,41.21,false,dbo
1139,ZF1,3,2,2002-06-13 19:20:00,2002-06-13 19:54:00,EI,CASH,1665.00,227.25,1437.75,94.06,false,dbo
1140,PJ1,1,0,2002-06-13 19:35:00,2002-06-13 19:45:00,TG,VISA,145.00,0.00,145.00,9.49,false,dbo
1141,ZM1,3,4,2002-06-13 19:41:00,2002-06-13 20:22:00,EI,CHK,830.00,0.00,830.00,54.30,false,dbo
1142,ZF1,6,4,2002-06-13 19:44:00,2002-06-13 21:26:00,EI,MC,1880.00,178.00,1702.00,111.35,false,dbo
1143,RH2,3,1,2002-06-13 20:13:00,2002-06-13 21:43:00,EI,CASH,1555.00,210.75,1344.25,87.94,false,dbo
1144,ZM1,1,2,2002-06-13 20:20:00,2002-06-13 20:56:00,EI,CASH,450.00,0.00,450.00,29.44,false,dbo
1145,ZM1,2,2,2002-06-14 11:02:00,2002-06-14 11:58:00,EI,VISA,490.00,0.00,490.00,32.06,false,dbo
1146,ZF1,2,1,2002-06-14 11:13:00,2002-06-14 12:22:00,EI,CASH,670.00,0.00,670.00,43.83,false,dbo
1147,PH1,4,2,2002-06-14 11:26:00,2002-06-14 12:29:00,EI,CHK,1450.00,145.00,1305.00,85.37,false,dbo
1148,PJ1,1,3,2002-06-14 11:39:00,2002-06-14 12:54:00,EI,CASH,485.00,0.00,485.00,31.73,false,dbo
1149,ZM1,5,4,2002-06-14 11:41:00,2002-06-14 13:12:00,EI,AMEX,1530.00,138.00,1392.00,91.07,false,dbo
1150,ZM1,5,5,2002-06-14 11:57:00,2002-06-14 13:37:00,EI,CASH,1380.00,199.50,1180.50,77.23,false,dbo
1880,ZF1,1,0,2002-09-28 18:29:00,2002-09-28 18:43:00,TG,CASH,110.00,0.00,110.00,7.20,false,dbo
1881,ZF1,1,3,2002-09-28 18:33:00,2002-09-28 19:37:00,EI,CHK,790.00,0.00,790.00,51.68,false,dbo
1882,PJ1,2,4,2002-09-28 18:43:00,2002-09-28 20:52:00,EI,CASH,200.00,0.00,200.00,13.08,false,dbo
1883,ZF1,2,4,2002-09-28 18:44:00,2002-09-28 20:10:00,EI,CHK,90.00,0.00,90.00,5.89,false,dbo
1884,ZM1,3,2,2002-09-28 19:27:00,2002-09-28 21:16:00,EI,MC,290.00,9.50,280.50,18.35,false,dbo
1885,ZF1,2,4,2002-09-28 19:45:00,2002-09-28 21:16:00,EI,CASH,320.00,0.00,320.00,20.93,false,dbo
2833,ZM1,6,5,2003-02-08 20:05:00,2003-02-08 20:40:00,EI,CASH,1330.00,192.00,1138.00,74.45,false,dbo
2834,ZF1,2,1,2003-02-08 20:15:00,2003-02-08 22:11:00,EI,AMEX,270.00,0.00,270.00,17.66,false,dbo
2835,ZF1,2,4,2003-02-09 10:47:00,2003-02-09 12:02:00,EI,CASH,740.00,0.00,740.00,48.41,false,dbo
2836,CS1,3,4,2003-02-09 12:04:00,2003-02-09 14:03:00,EI,CASH,100.00,0.00,100.00,6.54,false,dbo
2837,ZM1,4,1,2003-02-09 12:13:00,2003-02-09 14:30:00,EI,CASH,125.00,0.00,125.00,8.18,false,dbo
2838,ZM1,3,2,2003-02-09 12:26:00,2003-02-09 14:21:00,EI,CASH,1590.00,238.50,1351.50,88.42,false,dbo
2839,ZF1,2,1,2003-02-09 19:14:00,2003-02-09 21:07:00,EI,CASH,445.00,0.00,445.00,29.11,false,dbo
2840,PJ1,1,0,2003-02-09 19:57:00,2003-02-09 20:16:00,TG,CASH,160.00,0.00,160.00,10.47,false,dbo
2841,ZF1,1,9,2003-02-09 20:09:00,2003-02-09 21:31:00,EI,CASH,180.00,0.00,180.00,11.78,false,dbo
2842,CS1,2,4,2003-02-10 11:42:00,2003-02-10 12:20:00,EI,MC,180.00,9.00,171.00,11.19,false,dbo
2843,ZF1,3,5,2003-02-10 11:51:00,2003-02-10 13:16:00,EI,MC,600.00,22.50,577.50,37.78,false,dbo
2844,ZM1,3,4,2003-02-10 18:45:00,2003-02-10 20:02:00,EI,CASH,140.00,0.00,140.00,9.16,false,dbo
2845,ZF1,3,6,2003-02-10 19:06:00,2003-02-10 20:30:00,EI,CASH,1260.00,166.50,1093.50,71.54,false,dbo
2846,PJ1,2,9,2003-02-10 20:09:00,2003-02-10 22:10:00,EI,VISA,230.00,0.00,230.00,15.05,false,dbo
2847,ZF1,4,2,2003-02-11 11:26:00,2003-02-11 12:32:00,EI,CASH,40.00,0.00,40.00,2.62,false,dbo
2848,ZF1,1,1,2003-02-11 12:10:00,2003-02-11 12:40:00,EI,VISA,455.00,0.00,455.00,29.77,false,dbo
2849,ZM1,4,6,2003-02-11 19:06:00,2003-02-11 20:49:00,EI,CASH,240.00,0.00,240.00,15.70,false,dbo
2850,ZF1,5,1,2003-02-12 11:14:00,2003-02-12 12:38:00,EI,MC,1180.00,108.00,1072.00,70.13,false,dbo
2851,RH1,3,3,2003-02-12 11:37:00,2003-02-12 12:37:00,EI,CASH,1160.00,159.00,1001.00,65.49,false,dbo
2852,ZF1,4,4,2003-02-12 18:40:00,2003-02-12 19:43:00,EI,CASH,120.00,0.00,120.00,7.85,false,dbo
2853,PJ1,3,2,2003-02-12 19:02:00,2003-02-12 21:18:00,EI,MC,270.00,11.00,259.00,16.94,false,dbo
2854,ZF1,4,3,2003-02-12 19:35:00,2003-02-12 21:13:00,EI,VISA,310.00,0.00,310.00,20.28,false,dbo
2855,ZM1,4,5,2003-02-12 19:50:00,2003-02-12 21:33:00,EI,AMEX,160.00,0.00,160.00,10.47,false,dbo
2856,ZM1,3,5,2003-02-12 19:51:00,2003-02-12 22:14:00,EI,MC,200.00,10.00,190.00,12.43,false,dbo
2857,ZM1,3,1,2003-02-12 20:15:00,2003-02-12 21:14:00,EI,MC,820.00,41.00,779.00,50.96,false,dbo
2858,CS1,2,3,2003-02-13 10:38:00,2003-02-13 12:39:00,EI,CASH,270.00,0.00,270.00,17.66,false,dbo
2859,ZM1,1,4,2003-02-13 11:49:00,2003-02-13 13:55:00,EI,CASH,420.00,0.00,420.00,27.48,false,dbo
2860,RH2,1,0,2003-02-13 18:48:00,2003-02-13 19:07:00,TG,CASH,1490.00,223.50,1266.50,82.86,false,dbo
2861,ZF1,2,2,2003-02-13 19:02:00,2003-02-13 21:14:00,EI,CASH,200.00,0.00,200.00,13.08,false,dbo
2862,ZF1,3,5,2003-02-14 10:57:00,2003-02-14 12:17:00,EI,CASH,260.00,0.00,260.00,17.01,false,dbo
1624,ZM1,3,2,2002-08-20 11:22:00,2002-08-20 13:42:00,EI,MC,200.00,5.00,195.00,12.76,false,dbo
1625,PJ1,4,2,2002-08-20 11:29:00,2002-08-20 12:31:00,EI,CASH,160.00,0.00,160.00,10.47,false,dbo
1626,ZM1,6,3,2002-08-20 19:35:00,2002-08-20 21:06:00,EI,CASH,1850.00,262.50,1587.50,103.86,false,dbo
1627,PH1,6,3,2002-08-21 11:39:00,2002-08-21 13:07:00,EI,CASH,2150.00,430.00,1720.00,112.52,false,dbo
1628,RH2,4,2,2002-08-21 12:20:00,2002-08-21 12:57:00,EI,MC,340.00,12.00,328.00,21.46,false,dbo
1629,ZM1,3,4,2002-08-21 18:44:00,2002-08-21 19:40:00,EI,CASH,1440.00,201.00,1239.00,81.06,false,dbo
1630,ZF1,1,4,2002-08-21 19:43:00,2002-08-21 20:26:00,EI,MC,940.00,42.00,898.00,58.75,false,dbo
1631,AC1,3,4,2002-08-21 19:46:00,2002-08-21 20:29:00,EI,CASH,450.00,0.00,450.00,29.44,false,dbo
1632,ZM1,5,5,2002-08-21 19:50:00,2002-08-21 21:24:00,EI,CASH,1700.00,240.00,1460.00,95.51,false,dbo
1633,ZF1,2,1,2002-08-21 20:01:00,2002-08-21 20:30:00,EI,CASH,290.00,0.00,290.00,18.97,false,dbo
1634,ZF1,3,3,2002-08-22 11:36:00,2002-08-22 12:15:00,EI,VISA,665.00,0.00,665.00,43.50,false,dbo
1635,ZF1,4,4,2002-08-22 18:49:00,2002-08-22 20:44:00,EI,CASH,1050.00,157.50,892.50,58.39,false,dbo
